"","teacher","posterior","p","prior"
"1","Ricc",0,0,0.000669151128824427
"2","Ricc",1.44325322807494e-09,0.0101010101010101,0.000817912006377329
"3","Ricc",1.36503594502482e-08,0.0202020202020202,0.000997197476420733
"4","Ricc",5.43104207689401e-08,0.0303030303030303,0.00121268492019622
"5","Ricc",1.5132668533265e-07,0.0404040404040404,0.00147098079425061
"6","Ricc",3.46425256806849e-07,0.0505050505050505,0.00177974690631534
"7","Ricc",6.99619706261791e-07,0.0606060606060606,0.00214783893054545
"8","Ricc",1.29465103012678e-06,0.0707070707070707,0.00258545743371041
"9","Ricc",2.24552119275565e-06,0.0808080808080808,0.00310431149583204
"10","Ricc",3.70423215158435e-06,0.0909090909090909,0.00371779477938901
"11","Ricc",5.86982967204118e-06,0.101010101010101,0.00444117362774295
"12","Ricc",8.99883127952955e-06,0.111111111111111,0.0052917864537283
"13","Ricc",1.34170892975277e-05,0.121212121212121,0.00628925331208086
"14","Ricc",1.95331021279804e-05,0.131313131313131,0.00745569413431345
"15","Ricc",2.78527389734075e-05,0.141414141414141,0.00881595364281772
"16","Ricc",3.89952845787562e-05,0.151515151515152,0.0103978304549199
"17","Ricc",5.37106411399363e-05,0.161616161616162,0.0122323073415919
"18","Ricc",7.2897444585204e-05,0.171717171717172,0.0143537790256792
"19","Ricc",9.76217628174597e-05,0.181818181818182,0.016800273299081
"20","Ricc",0.000129135945654756,0.191919191919192,0.0196136606177523
"21","Ricc",0.000168897092247032,0.202020202020202,0.0228398467104084
"22","Ricc",0.000218584494530548,0.212121212121212,0.026528942126438
"23","Ricc",0.000280115308408045,0.222222222222222,0.030735402068057
"24","Ricc",0.00035565760215118,0.232323232323232,0.0355181293205587
"25","Ricc",0.000447639839040758,0.242424242424242,0.0409405326339362
"26","Ricc",0.00055875577411539,0.252525252525253,0.047070532542015
"27","Ricc",0.000691963689173393,0.262626262626263,0.0539805063555019
"28","Ricc",0.000850478862217419,0.272727272727273,0.0617471639576055
"29","Ricc",0.00103775817372831,0.282828282828283,0.0704513460895682
"30","Ricc",0.00125747579863316,0.292929292929293,0.0801777370622726
"31","Ricc",0.00151348902514555,0.303030303030303,0.0910144842910664
"32","Ricc",0.00180979338442847,0.313131313131313,0.103052717743562
"33","Ricc",0.00215046647158785,0.323232323232323,0.116385963330423
"34","Ricc",0.0025396000905024,0.333333333333333,0.131109445468548
"35","Ricc",0.00298122066206456,0.343434343434343,0.147319275510651
"36","Ricc",0.00347919819483524,0.353535353535354,0.165111524464828
"37","Ricc",0.00403714452359424,0.363636363636364,0.184581180414643
